control_group,age_bucket_fine,n_rows,mean_amount,median_amount,std_amount
15K to 25K,0-15,42,112537.73809523809,58500.0,166413.01103814988
15K to 25K,16-30,324,97202.56790123456,50000.0,146797.88406519018
15K to 25K,31-45,498,108696.64457831325,55658.5,146615.45006196795
15K to 25K,46-60,705,109811.61985815603,69767.0,136987.6782225266
15K to 25K,61-75,1250,100771.0088,52631.0,132191.3227545545
15K to 25K,76-90,1138,92181.9481546573,50000.0,118993.77533323423
15K to 25K,91-120,151,78459.37086092716,41822.0,122136.9187931651
15K to 25K,121+,1,13888.0,13888.0,
1K or less,0-15,11546,93070.6280963104,50000.0,134313.4535053216
1K or less,16-30,16861,92255.56645513314,47500.0,134603.47138446232
1K or less,31-45,10874,90164.64769174177,42500.0,134238.87917167213
1K or less,46-60,7670,91512.18396349413,40000.0,137404.38225271818
1K or less,61-75,6244,85899.92392696989,39473.0,130144.23315983405
1K or less,76-90,5226,83335.51128970532,40000.0,123072.71073196562
1K or less,91-120,899,87854.19688542826,34337.0,140657.45381603166
1K or less,121+,28,89078.0,26288.5,132835.81629047025
1K to 5K,0-15,42,103384.45238095238,40000.0,178377.1459884519
1K to 5K,16-30,398,70379.9824120603,28552.0,120099.70211645261
1K to 5K,31-45,483,76241.5900621118,34000.0,113214.10254114433
1K to 5K,46-60,718,69785.24791086352,30000.0,98152.49646665035
1K to 5K,61-75,1358,64813.70986745213,30000.0,96910.80878848388
1K to 5K,76-90,1335,67079.19550561797,30000.0,102521.3603439624
1K to 5K,91-120,190,62668.563157894736,22163.5,121412.65655259081
1K to 5K,121+,4,88144.0,66571.0,101043.76513174873
5K to 15K,0-15,61,114021.31147540984,100000.0,97319.66780093683
5K to 15K,16-30,399,67090.96240601504,37000.0,96458.00166899565
5K to 15K,31-45,569,89573.36379613356,46052.0,128894.98751493324
5K to 15K,46-60,866,86999.97113163973,47351.5,124598.67315403481
5K to 15K,61-75,1428,81706.27591036414,40000.0,119462.70525095341
5K to 15K,76-90,1411,73627.81856839122,40000.0,106469.57120348322
5K to 15K,91-120,204,75668.7205882353,30763.5,138447.87356604994
5K to 15K,121+,4,23281.5,19341.0,23862.911885741578
More than 25K,0-15,61,220401.54098360657,110000.0,282713.29575953644
More than 25K,16-30,388,141424.15721649484,100000.0,157216.09839759674
More than 25K,31-45,594,134239.60606060605,100000.0,151780.61310162075
More than 25K,46-60,855,136126.50175438597,100000.0,158702.75847565438
More than 25K,61-75,1464,131354.65642076504,100000.0,154934.1883698312
More than 25K,76-90,1539,120342.42170240416,75000.0,143051.71948032125
More than 25K,91-120,196,134347.38775510204,50500.0,191589.14949240538
More than 25K,121+,1,166000.0,166000.0,
