control_group,age_bucket_fine,n_rows,mean_amount,median_amount,std_amount
Loss,0-15,8955,101542.19318816304,50000.0,135216.41298400704
Loss,16-30,14018,101183.05685547154,50000.0,135932.81039438097
Loss,31-45,9722,96791.7084961942,50000.0,136397.10624985516
Loss,46-60,8332,97464.8474555929,50000.0,133941.66316003495
Loss,61-75,9765,93377.87670250896,50000.0,129095.50111474673
Loss,76-90,8893,90796.76723265489,50000.0,122684.86985418432
Loss,91-120,713,89508.32959326789,50000.0,125352.51761290093
Loss,121+,0,,,
Won,0-15,2797,69628.76582052199,20000.0,135351.84794311892
Won,16-30,4352,63943.87568933824,20000.0,126119.48412387789
Won,31-45,3296,79218.0145631068,30000.0,129943.85043468457
Won,46-60,2482,84236.29170024174,29406.0,145126.2439621914
Won,61-75,1979,74524.86963112683,25095.0,135281.95895015908
Won,76-90,1756,63556.5791571754,22000.0,117867.2326362442
Won,91-120,927,87038.1693635383,28001.0,158408.63997953082
Won,121+,38,82099.31578947368,26288.5,120337.64025690501
