control_group,age_bucket_fine,n_rows,mean_amount,median_amount,std_amount
Mid-Atlantic,0-15,1075,82592.28744186046,40000.0,112474.91373066636
Mid-Atlantic,16-30,1982,79801.41120080727,33000.0,120817.55185437558
Mid-Atlantic,31-45,1132,76906.19964664312,30000.0,115094.20213368472
Mid-Atlantic,46-60,992,90353.76310483871,50000.0,133120.66529736185
Mid-Atlantic,61-75,1081,76651.07308048103,30000.0,114430.12311970947
Mid-Atlantic,76-90,1164,80367.99484536082,41000.0,112056.62065709698
Mid-Atlantic,91-120,141,54250.21985815603,22000.0,81642.78707928058
Mid-Atlantic,121+,1,6745.0,6745.0,
Midwest,0-15,3077,85190.7851803705,45500.0,127938.56655151783
Midwest,16-30,4589,87030.01481804314,41261.0,128905.57791392587
Midwest,31-45,3476,84513.49510932105,40000.0,125755.46329908715
Midwest,46-60,3077,86582.9278518037,40000.0,132211.37560443082
Midwest,61-75,3414,78433.71060339778,39000.0,111364.45566142682
Midwest,76-90,2933,75666.27139447664,40000.0,110538.2619173102
Midwest,91-120,449,66119.43207126949,25000.0,123327.97271199428
Midwest,121+,5,22072.6,12000.0,20173.882268913934
Northwest,0-15,1513,99551.87904824852,50000.0,133564.4661050727
Northwest,16-30,2216,89359.37319494585,46511.0,126837.79631304902
Northwest,31-45,1443,97664.79487179487,50000.0,138225.97043417586
Northwest,46-60,1399,91281.40243030737,50000.0,130814.28851841183
Northwest,61-75,1513,108815.5981493721,57831.0,146978.9350846493
Northwest,76-90,1291,97653.32378001549,50004.0,126162.36639706585
Northwest,91-120,174,100193.11494252873,54473.5,130504.63563107853
Northwest,121+,3,44474.666666666664,10282.0,68321.60625551286
Other,0-15,1129,95694.67936226749,50000.0,131737.39259795233
Other,16-30,1603,94735.5015595758,50000.0,127598.03530138887
Other,31-45,1582,89594.82869785083,50000.0,128499.17831483578
Other,46-60,999,90075.1981981982,50000.0,117954.63881628108
Other,61-75,1020,104138.0862745098,50000.0,140541.17686924475
Other,76-90,968,92945.52685950413,50000.0,122207.6662730543
Other,91-120,56,82947.17857142857,48500.0,83860.95000418187
Other,121+,1,12000.0,12000.0,
Pacific,0-15,2276,105612.16783831283,50004.0,148646.7033169575
Pacific,16-30,3237,105742.18690145196,50000.0,152793.33312610307
Pacific,31-45,2523,108113.26516052318,54004.0,150159.54967743662
Pacific,46-60,2029,111255.11138491868,50000.0,156504.39918821052
Pacific,61-75,2313,102568.439256377,50000.0,148221.4807765621
Pacific,76-90,2233,90155.01388266905,50000.0,129954.07967140619
Pacific,91-120,507,114280.59960552269,50000.0,173446.81242465126
Pacific,121+,24,73051.54166666667,31686.5,87689.17472774487
Southeast,0-15,1371,99930.96134208607,35000.0,160242.74072685244
Southeast,16-30,2262,94039.55481874448,40000.0,146097.1239434713
Southeast,31-45,1448,90452.63397790055,40000.0,146191.3088396887
Southeast,46-60,1266,97642.51263823065,50000.0,142128.29123121605
Southeast,61-75,1458,80769.58436213991,40000.0,120273.7854641164
Southeast,76-90,1236,100108.04773462783,50000.0,148460.14326487927
Southeast,91-120,190,81340.8,30398.5,147957.0822797708
Southeast,121+,1,5.0,5.0,
Southwest,0-15,1311,89323.65751334859,50000.0,124667.93601992515
Southwest,16-30,2481,94411.28214429665,50000.0,128686.6553183146
Southwest,31-45,1414,95382.1350777935,50000.0,132166.6692498299
Southwest,46-60,1052,93217.80988593157,50000.0,126645.77014456864
Southwest,61-75,945,87646.01375661376,45000.0,132183.14057335613
Southwest,76-90,824,75839.90291262136,50000.0,98901.54966392052
Southwest,91-120,123,95067.12195121951,30000.0,162431.4972694333
Southwest,121+,3,368000.0,469000.0,174937.13156445662
