control_group,age_bucket_fine,n_rows,mean_amount,median_amount,std_amount
Fields Sales,0-15,6269,120255.77444568512,80000.0,152996.5769777768
Fields Sales,16-30,7555,135251.64553275975,100000.0,163316.65155769902
Fields Sales,31-45,5446,130390.76496511202,100000.0,157208.5929856239
Fields Sales,46-60,5169,130560.59527955117,100000.0,155446.35589829896
Fields Sales,61-75,5834,125789.65701062736,100000.0,149857.84752978184
Fields Sales,76-90,6273,109841.13534194166,61349.0,136690.97331211195
Fields Sales,91-120,689,120645.06676342526,55000.0,173887.17688828782
Fields Sales,121+,27,104216.85185185185,36373.0,135538.7503516994
Other,0-15,118,99461.09322033898,40000.0,149642.0438180763
Other,16-30,594,113675.79461279462,72850.0,139343.3331666238
Other,31-45,727,130507.79642365887,100000.0,162395.72499969372
Other,46-60,431,140880.51972157773,100000.0,175894.9566353128
Other,61-75,454,145105.90969162996,100000.0,166006.9093094347
Other,76-90,446,103380.12331838565,55000.0,135159.19738146008
Other,91-120,85,128508.83529411764,50000.0,195031.4378943539
Other,121+,1,38750.0,38750.0,
Reseller,0-15,4565,65084.1713033954,30000.0,107934.3160928172
Reseller,16-30,9134,59622.596671775784,30000.0,97401.817513075
Reseller,31-45,6309,57838.75099064828,29069.0,98639.31320459073
Reseller,46-60,4952,54337.7823101777,25000.0,96325.96431436842
Reseller,61-75,5217,47240.123442591525,23713.0,83240.17101593655
Reseller,76-90,3726,47341.30193236715,25000.0,79394.16554475874
Reseller,91-120,845,58918.59644970414,25000.0,101912.5693398722
Reseller,121+,10,26716.9,11777.5,37123.81788750242
Telecoverage,0-15,116,76163.18965517242,50002.0,75844.79126248998
Telecoverage,16-30,231,64674.242424242424,35000.0,83763.32950715118
Telecoverage,31-45,147,77522.83673469388,45000.0,115429.23641152833
Telecoverage,46-60,58,113954.63793103448,60000.0,123096.22643933263
Telecoverage,61-75,54,76011.33333333333,50000.0,86366.64414914421
Telecoverage,76-90,10,54063.4,34999.5,47816.98702390652
Telecoverage,91-120,3,30000.333333333332,20001.0,17320.219407771176
Telecoverage,121+,0,,,
Telesales,0-15,684,47511.647660818715,20000.0,79110.45140366403
Telesales,16-30,856,55824.39953271028,25000.0,85711.24092426966
Telesales,31-45,389,53531.503856041134,25000.0,89949.71456782457
Telesales,46-60,204,48403.416666666664,20000.0,69283.1631223229
Telesales,61-75,185,48802.18918918919,20000.0,65082.33966711349
Telesales,76-90,194,36008.77319587629,18968.5,61365.116558670146
Telesales,91-120,18,32216.944444444445,30000.5,21245.310692209157
Telesales,121+,0,,,
