Opportunity Number,rows_for_id,distinct_full_rows,distinct_states_excl_id,is_exact_repeat_only,changed_columns_count,changed_columns
4947042,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
5629727,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
5799657,2,2,2,False,2,"Supplies Subgroup, Opportunity Amount USD"
5934206,2,2,2,False,2,"Supplies Subgroup, Opportunity Amount USD"
5943944,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
5970247,2,1,1,True,0,
5984533,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
5989005,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
6003266,2,2,2,False,4,"Supplies Group, Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
6034864,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
6055026,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
6092009,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
6141506,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
6165786,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
6321928,2,2,2,False,1,Opportunity Amount USD
6321949,2,1,1,True,0,
6321964,2,1,1,True,0,
6359058,2,1,1,True,0,
6360969,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
6384089,2,2,2,False,1,Supplies Subgroup
6386902,2,1,1,True,0,
6447908,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
6460332,2,1,1,True,0,
6495559,2,2,2,False,4,"Supplies Group, Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
6584418,2,2,2,False,4,"Supplies Group, Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
6704540,3,1,1,True,0,
6708822,2,2,2,False,1,Opportunity Amount USD
6725791,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
6782620,2,2,2,False,1,Opportunity Amount USD
6801542,2,1,1,True,0,
6813515,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
6831434,2,2,2,False,1,Opportunity Amount USD
6835459,3,3,3,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
6835486,2,1,1,True,0,
6862185,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
6875233,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
6887783,2,2,2,False,4,"Supplies Group, Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
6914726,2,1,1,True,0,
6927696,2,2,2,False,1,Opportunity Amount USD
7120070,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7132720,2,1,1,True,0,
7247062,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7281765,4,3,3,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7312879,2,2,2,False,1,Opportunity Amount USD
7373659,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7405822,2,2,2,False,1,Opportunity Amount USD
7405827,2,1,1,True,0,
7405835,2,1,1,True,0,
7405917,2,1,1,True,0,
7405931,2,1,1,True,0,
7463337,3,2,2,False,1,Opportunity Amount USD
7478784,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
7500029,2,1,1,True,0,
7521574,2,2,2,False,3,"Supplies Group, Supplies Subgroup, Opportunity Amount USD"
7530934,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
7535839,2,1,1,True,0,
7542338,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7591432,2,1,1,True,0,
7597895,2,2,2,False,1,Opportunity Amount USD
7612130,2,2,2,False,1,Opportunity Amount USD
7619322,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7682469,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7683045,2,2,2,False,4,"Supplies Group, Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
7753406,2,2,2,False,1,Opportunity Amount USD
7805130,2,2,2,False,1,Opportunity Amount USD
7820429,2,1,1,True,0,
7860306,2,2,2,False,1,Opportunity Amount USD
7860326,2,1,1,True,0,
7860475,2,2,2,False,2,"Opportunity Amount USD, Deal Size Category (USD)"
7885444,2,1,1,True,0,
7906072,2,2,2,False,3,"Supplies Subgroup, Opportunity Amount USD, Deal Size Category (USD)"
