Opportunity Number,row_count
7281765,4
8093335,4
9782603,4
6704540,3
6835459,3
7463337,3
8133081,3
4787647,3
7239544,3
8445253,3
4947042,2
5629727,2
5799657,2
5934206,2
5943944,2
5970247,2
5984533,2
5989005,2
6003266,2
6034864,2
6055026,2
6092009,2
6141506,2
6165786,2
6321928,2
6321949,2
6321964,2
6359058,2
6360969,2
6384089,2
6386902,2
6447908,2
6460332,2
6495559,2
6584418,2
6708822,2
6725791,2
6782620,2
6801542,2
6813515,2
6831434,2
6835486,2
6862185,2
6875233,2
6887783,2
6914726,2
6927696,2
7120070,2
7132720,2
7247062,2
7312879,2
7373659,2
7405822,2
7405827,2
7405835,2
7405917,2
7405931,2
7478784,2
7500029,2
7521574,2
7530934,2
7535839,2
7542338,2
7591432,2
7597895,2
7612130,2
7619322,2
7682469,2
7683045,2
7753406,2
7805130,2
7820429,2
7860306,2
7860326,2
7860475,2
7885444,2
7906072,2
7973674,2
7992716,2
8026653,2
8051427,2
8071650,2
8072128,2
8089697,2
8092917,2
8117719,2
8118253,2
8135025,2
8202220,2
8227179,2
8281066,2
8327218,2
8378725,2
8388041,2
8439657,2
8469045,2
8531084,2
9384517,2
9408878,2
9410109,2
9557249,2
9627317,2
9649176,2
9743892,2
9774974,2
9800649,2
9877355,2
9913584,2
9966812,2
9986350,2
1724032,2
5210752,2
5743311,2
5822310,2
5839656,2
5872991,2
5885433,2
5929750,2
5984513,2
5984525,2
6084951,2
6221010,2
6266750,2
6275830,2
6335215,2
6422720,2
6498008,2
6504421,2
6545510,2
6600541,2
6604360,2
6653518,2
6693964,2
6696753,2
6759661,2
6824479,2
6825049,2
6827983,2
6851136,2
6978331,2
7016652,2
7028747,2
7054914,2
7055542,2
7081717,2
7129100,2
7144393,2
7169763,2
7204863,2
7254786,2
7292688,2
7305882,2
7316314,2
7322354,2
7343631,2
7360582,2
7367921,2
7387626,2
7466175,2
7619305,2
7658131,2
7774423,2
7812028,2
7835914,2
7864387,2
7884410,2
7902106,2
7914169,2
8003017,2
8050982,2
8306592,2
8382109,2
8467576,2
8476177,2
8515211,2
8555599,2
9361151,2
9389467,2
9410895,2
9573694,2
9682532,2
9690002,2
9916456,2
