Opportunity Number,Supplies Group,Supplies Subgroup,Region,Route To Market,Elapsed Days In Sales Stage,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue (USD),Client Size By Employee Count,Revenue From Client Past Two Years (USD),Competitor Type,Ratio Days Identified To Total Days,Ratio Days Validated To Total Days,Ratio Days Qualified To Total Days,Deal Size Category (USD)
4787647,Car Accessories,Interior Accessories,Southeast,Fields Sales,26,Won,6,49,46,6000,100K or less,15K to 25K,0 (No business),Unknown,0.431174,0.293522,0.210526,10K or less
4787647,Car Accessories,Batteries & Accessories,Southeast,Fields Sales,26,Won,6,49,46,0,100K or less,15K to 25K,0 (No business),Unknown,0.431174,0.293522,0.210526,10K or less
4787647,Performance & Non-auto,Shelters & RV,Southeast,Fields Sales,26,Won,6,49,46,0,100K or less,15K to 25K,0 (No business),Unknown,0.431174,0.293522,0.210526,10K or less
4947042,Car Accessories,Exterior Accessories,Midwest,Fields Sales,88,Loss,4,81,81,600000,250K to 500K,More than 25K,"50,000 - 100,000",Known,0.170972,0.03075,0.798278,More than 60K
4947042,Car Accessories,Towing & Hitches,Midwest,Fields Sales,88,Loss,4,81,81,200000,250K to 500K,More than 25K,"50,000 - 100,000",Known,0.170972,0.03075,0.798278,40K to 50K
5210752,Performance & Non-auto,Motorcycle Parts,Northeast,Fields Sales,74,Loss,7,70,70,125000,500K to 1M,1K to 5K,0 (No business),Known,0.058488,0.848787,0.092725,40K to 50K
5210752,Performance & Non-auto,Motorcycle Parts,Northeast,Fields Sales,74,Loss,7,70,70,50000,500K to 1M,1K to 5K,0 (No business),Known,0.058488,0.848787,0.092725,30K to 40K
5629727,Performance & Non-auto,Shelters & RV,Northwest,Fields Sales,89,Loss,2,51,51,200000,100K or less,More than 25K,0 (No business),Unknown,0.0,1.0,0.0,40K to 50K
5629727,Performance & Non-auto,Shelters & RV,Northwest,Fields Sales,89,Loss,2,51,51,0,100K or less,More than 25K,0 (No business),Unknown,0.0,1.0,0.0,10K or less
5743311,Car Accessories,Replacement Parts,Northeast,Reseller,89,Loss,5,46,46,20000,More than 1M,1K to 5K,0 (No business),Unknown,0.0,0.598684,0.401316,10K to 20K
