lambda_max,effective_lambda,top_share,selected_opps,baseline_selected_revenue,focus_revenue,total_unmodified,net_vs_baseline_usd,net_vs_baseline_pct
1.5,1.4975,0.005,114,20418701.0,30577004.747500002,384935607.0,-354358602.2525,-92.05659227375658
1.5,1.495,0.01,227,34199578.0,51128369.11000001,384935607.0,-333807237.89,-86.71768259931329
1.5,1.4925,0.015,341,48044894.0,71707004.295,384935607.0,-313228602.705,-81.37168840943312
1.5,1.49,0.02,455,57989674.0,86404614.26,384935607.0,-298530992.74,-77.55348876831756
1.5,1.4875,0.025,569,69549813.0,103455346.8375,384935607.0,-281480260.1625,-73.12398620543826
1.5,1.485,0.03,682,83391544.0,123836442.83999999,384935607.0,-261099164.16000003,-67.82930947720823
1.5,1.4825,0.035,796,91572777.0,135756641.9025,384935607.0,-249178965.0975,-64.73263594383462
1.5,1.48,0.04,910,101276673.0,149889476.04,384935607.0,-235046130.96,-61.061155862362206
1.5,1.4775,0.045,1024,111733947.0,165086906.6925,384935607.0,-219848700.3075,-57.11311094883982
1.5,1.475,0.05,1137,116587486.0,171966541.85000002,384935607.0,-212969065.14999998,-55.325893805921666
1.5,1.4725,0.055,1251,124473648.0,183287446.67999998,384935607.0,-201648160.32000002,-52.38490715149664
1.5,1.47,0.06,1365,128828211.0,189377470.17,384935607.0,-195558136.83,-50.802818256820814
1.5,1.4675,0.065,1478,134262107.0,197029642.0225,384935607.0,-187905964.9775,-48.81490866536022
1.5,1.465,0.07,1592,141392461.0,207139955.36499998,384935607.0,-177795651.63500002,-46.188413958545546
1.5,1.4625,0.075,1706,148321740.0,216920544.75,384935607.0,-168015062.25,-43.64757616460251
1.5,1.46,0.08,1820,155714633.0,227343364.18,384935607.0,-157592242.82,-40.93989746705869
1.5,1.4575,0.085,1933,160940102.0,234570198.665,384935607.0,-150365408.335,-39.062483594821096
1.5,1.455,0.09,2047,167845097.0,244214616.13500002,384935607.0,-140720990.86499998,-36.557021046120056
1.5,1.4525,0.095,2161,170841122.0,248146729.705,384935607.0,-136788877.295,-35.53552199576071
1.5,1.45,0.1,2275,175889358.0,255039569.1,384935607.0,-129896037.9,-33.744874607040444
1.5,1.4475,0.105,2388,180111129.0,260710859.2275,384935607.0,-124224747.77250001,-32.271565818669515
