lambda_max,effective_lambda,top_share,selected_opps,baseline_selected_revenue,focus_revenue,total_unmodified,net_vs_baseline_usd,net_vs_baseline_pct
2.0,1.995,0.005,114,12230200.0,24399249.0,384935607.0,-360536358.0,-93.66147257975021
2.0,1.99,0.01,227,20843996.0,41479552.04,384935607.0,-343456054.96,-89.22428809242373
2.0,1.985,0.015,341,28782692.0,57133643.62,384935607.0,-327801963.38,-85.1576101090591
2.0,1.98,0.02,455,34812733.0,68929211.34,384935607.0,-316006395.65999997,-82.09331376819084
2.0,1.975,0.025,569,44145590.0,87187540.25,384935607.0,-297748066.75,-77.35009735017837
2.0,1.97,0.03,682,58294123.0,114839422.31,384935607.0,-270096184.69,-70.1665888471575
2.0,1.965,0.035,796,66612078.0,130892733.27,384935607.0,-254042873.73000002,-65.99620017225374
2.0,1.96,0.04,910,73749546.0,144549110.16,384935607.0,-240386496.84,-62.44849592207249
2.0,1.955,0.045,1024,84219235.0,164648604.425,384935607.0,-220287002.575,-57.226974737881285
2.0,1.95,0.05,1137,92383022.0,180146892.9,384935607.0,-204788714.1,-53.200771863123585
2.0,1.945,0.055,1251,99658259.0,193835313.755,384935607.0,-191100293.245,-49.64474311283965
2.0,1.94,0.06,1365,105522017.0,204712712.98,384935607.0,-180222894.02,-46.8189719897749
2.0,1.935,0.065,1478,111334742.0,215432725.77,384935607.0,-169502881.23,-44.03408729865824
2.0,1.93,0.07,1592,116142645.0,224155304.85,384935607.0,-160780302.15,-41.76810334669819
2.0,1.925,0.075,1706,123732011.0,238184121.175,384935607.0,-146751485.825,-38.12364539843672
2.0,1.92,0.08,1820,130629113.0,250807896.95999998,384935607.0,-134127710.04000002,-34.84419409400077
2.0,1.915,0.085,1933,134395041.0,257366503.51500002,384935607.0,-127569103.48499998,-33.14037495237482
2.0,1.91,0.09,2047,138738889.0,264991277.99,384935607.0,-119944329.00999999,-31.159582753278524
2.0,1.905,0.095,2161,142058881.0,270622168.305,384935607.0,-114313438.695,-29.696769178071904
2.0,1.9,0.1,2275,145762476.0,276948704.4,384935607.0,-107986902.60000002,-28.053238161467362
2.0,1.895,0.105,2388,149893904.0,284048948.08,384935607.0,-100886658.92000002,-26.208710518172463
2.0,1.89,0.11,2502,152682892.0,288570665.88,384935607.0,-96364941.12,-25.034041893661453
2.0,1.885,0.115,2616,158194344.0,298196338.44,384935607.0,-86739268.56,-22.533448967219083
2.0,1.88,0.12,2730,160569215.0,301870124.2,384935607.0,-83065482.80000001,-21.57905927367224
2.0,1.875,0.125,2843,161959186.0,303673473.75,384935607.0,-81262133.25,-21.110578437603465
2.0,1.87,0.13,2957,165062422.0,308666729.14000005,384935607.0,-76268877.85999995,-19.81341202867729
2.0,1.865,0.135,3071,168580626.0,314402867.49,384935607.0,-70532739.50999999,-18.32325672849485
2.0,1.86,0.14,3184,170855330.0,317790913.79999995,384935607.0,-67144693.20000005,-17.44309748928995
2.0,1.855,0.145,3298,171570716.0,318263678.18,384935607.0,-66671928.81999999,-17.320281004817517
2.0,1.85,0.15,3412,173375174.0,320744071.90000004,384935607.0,-64191535.099999964,-16.675915122603858
2.0,1.845,0.155,3526,175686212.0,324141061.14,384935607.0,-60794545.860000014,-15.793432655867557
2.0,1.84,0.16,3639,177807173.0,327165198.32,384935607.0,-57770408.68000001,-15.007811080464684
2.0,1.835,0.165,3753,179081887.0,328615262.645,384935607.0,-56320344.35500002,-14.631107990745063
2.0,1.83,0.17,3867,180370356.0,330077751.48,384935607.0,-54857855.51999998,-14.251177215725841
