n_reps,opps_covered,revenue_retained,gross_margin_retained,sales_effort_cost,commission_cost,acquisition_cost,serving_cost,salesforce_cost,net_margin,net_margin_vs_baseline,revenue_share_retained,contribution_share_of_baseline,cost_share_of_baseline,marginal_revenue_last_batch,marginal_cost_last_rep,marginal_roi,baseline_reps,baseline_cost,baseline_revenue,baseline_gross_margin,baseline_effort_cost,baseline_commission_cost,baseline_acquisition_cost,baseline_serving_cost,baseline_total_cost,baseline_contribution
1,100,9961580.0,6321889.78,135000.0,697310.6000000001,231800.0,796926.4,1861037.0,4460852.779999999,-116208293.53,0.025878562073370366,0.03696763353691119,0.01405518969251731,4460852.78,1861037.0,2.39697157015148,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
2,200,18566296.0,11978125.88,270000.0,1299640.7200000002,463100.0,1485303.6800000002,3518044.4000000004,8460081.48,-112209064.83,0.048232212511325305,0.07010973176412455,0.026569477871046222,3999228.6999999993,1657007.4000000001,2.4135249486514057,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
3,300,26280945.0,16965632.22,405000.0,1839666.1500000001,694400.0,2102475.5999999996,5041541.75,11924090.469999999,-108745055.84,0.06827361387745041,0.0988163986788049,0.03807545236284699,3464008.9899999998,1523497.35,2.2737217035526838,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
4,400,32051787.0,20821349.16,540000.0,2243625.0900000003,929100.0,2564142.96,6276868.050000001,14544481.11,-106124665.2,0.08326532130866242,0.12053189696589972,0.04740506025277909,2620390.6400000006,1235326.3,2.1212133506750406,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
5,500,38991542.0,25409471.380000003,675000.0,2729407.9400000004,1155100.0,3119323.36,7678831.300000001,17730640.080000002,-102938506.23,0.10129367429498409,0.14693598672232125,0.0579931675395703,3186158.9700000007,1401963.25,2.2726408627330286,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
6,600,47571796.0,31058319.92,810000.0,3330025.7200000007,1373600.0,3805743.6799999997,9319369.4,21738950.520000003,-98930195.78999999,0.12358377644186083,0.18015334644162034,0.07038307391612376,4008310.44,1640538.1,2.443290064400211,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
7,700,59289519.0,38929562.46,945000.0,4150266.33,1600400.0,4743161.5200000005,11438827.850000001,27490734.610000003,-93178411.7,0.15402451194908556,0.22781908591095926,0.08638995102827078,5751784.090000001,2119458.45,2.713798937648436,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
8,800,67207078.0,44044663.82000001,1080000.0,4704495.460000001,1819700.0,5376566.24,12980761.700000001,31063902.120000005,-89605244.19,0.17459304044065738,0.2574303628551129,0.09803516429112559,3573167.5100000002,1541933.85,2.3173286649099767,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
9,900,73428427.0,48129868.16,1215000.0,5139989.890000001,2031300.0,5874274.16,14260564.05,33869304.11,-86799842.2,0.19075509166913726,0.2806790728674709,0.10770067056433746,2805401.99,1279802.35,2.1920587893904084,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
10,1000,82610077.0,54208883.78,1350000.0,5782705.390000001,2244000.0,6608806.16,15985511.55,38223372.230000004,-82445774.08,0.21460752265508137,0.3167617688435771,0.1207280656790684,4354068.12,1724947.5,2.524174283565152,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
11,1100,90185681.0,59243219.8,1485000.0,6312997.67,2453700.0,7214854.48,17466552.15,41776667.64999999,-78892478.66000001,0.2342877077619894,0.3462083633431482,0.13191339223373638,3553295.4199999995,1481040.6,2.3991883949704005,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
12,1200,95712370.0,62898420.260000005,1620000.0,6699865.900000001,2667900.0,7656989.6,18644755.5,44253664.760000005,-76415481.55,0.2486451454723439,0.36673554187838525,0.14081158801415847,2476997.11,1178203.35,2.1023511009368625,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
13,1300,102272812.0,67155484.46000001,1755000.0,7159096.84,2876050.0,8181824.96,19971971.8,47183512.660000004,-73485633.65,0.26568810507571466,0.391015550394176,0.1508351806990438,2929847.8999999994,1327216.2999999998,2.207513500248603,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
14,1400,106276088.0,69731462.26,1890000.0,7439326.16,3087300.0,8502087.04,20918713.2,48812749.06000001,-71856397.25,0.2760879639799079,0.40451723205698054,0.15798529644997159,1629236.3999999997,946741.4000000001,1.7208885129561244,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
15,1500,112442989.0,73795785.62,2025000.0,7871009.230000001,3289250.0,8995439.12,22180698.35,51615087.27,-69054059.03999999,0.292108568174105,0.42774055214910056,0.167516241118127,2802338.21,1261985.15,2.2205793863739207,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
16,1600,117674648.0,77292184.72,2160000.0,8237225.360000001,3488150.0,9413971.84,23299347.200000003,53992837.519999996,-66676308.79000001,0.3056995660055943,0.44744525979567273,0.1759646608895052,2377750.25,1118648.85,2.1255555306743488,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
17,1700,123635859.0,81222572.16,2295000.0,8654510.13,3681950.0,9890868.719999999,24522328.85,56700243.31,-63968903.0,0.32118582108721366,0.46988186329201853,0.1852010377488679,2707405.7900000005,1222981.65,2.21377466293137,228,30780000,384935607.0,253078387.36,30780000.0,26945492.490000002,43888900.0,30794848.56,132409241.05000001,120669146.31
